[19-Dec-2017 23:36:09 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required 'SiteErroraa.php' (include_path='.:/usr/share/php') in /home/vlad/PhpstormProjects/MyEduProject/index.php on line 22
[19-Dec-2017 23:37:47 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required 'SiteErroraa.php' (include_path='.:/usr/share/php') in /home/vlad/PhpstormProjects/MyEduProject/index.php on line 22
[19-Dec-2017 23:37:57 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required 'SiteErroraa.php' (include_path='.:/usr/share/php') in /home/vlad/PhpstormProjects/MyEduProject/index.php on line 22
[19-Dec-2017 23:41:45 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required 'SiteErroraa.php' (include_path='.:/usr/share/php') in /home/vlad/PhpstormProjects/MyEduProject/index.php on line 22
[19-Dec-2017 23:41:52 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required 'SiteErroraa.php' (include_path='.:/usr/share/php') in /home/vlad/PhpstormProjects/MyEduProject/index.php on line 22
[19-Dec-2017 23:42:28 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required 'SiteErroraa.php' (include_path='.:/usr/share/php') in /home/vlad/PhpstormProjects/MyEduProject/index.php on line 22
[19-Dec-2017 23:42:40 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required 'SiteErroraa.php' (include_path='.:/usr/share/php') in /home/vlad/PhpstormProjects/MyEduProject/index.php on line 22
[19-Dec-2017 23:42:41 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required 'SiteErroraa.php' (include_path='.:/usr/share/php') in /home/vlad/PhpstormProjects/MyEduProject/index.php on line 22
[19-Dec-2017 23:42:44 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required 'SiteErroraa.php' (include_path='.:/usr/share/php') in /home/vlad/PhpstormProjects/MyEduProject/index.php on line 22
[20-Dec-2017 00:12:35 Europe/Kiev] PHP Fatal error:  Cannot redeclare siteHandler() (previously declared in /home/vlad/PhpstormProjects/MyEduProject/SiteError.php:20) in /home/vlad/PhpstormProjects/MyEduProject/SiteError.php on line 20
[20-Dec-2017 00:12:53 Europe/Kiev] PHP Fatal error:  Cannot redeclare siteHandler() (previously declared in /home/vlad/PhpstormProjects/MyEduProject/SiteError.php:20) in /home/vlad/PhpstormProjects/MyEduProject/SiteError.php on line 20
[20-Dec-2017 00:13:18 Europe/Kiev] PHP Fatal error:  Cannot redeclare siteHandler() (previously declared in /home/vlad/PhpstormProjects/MyEduProject/SiteError.php:20) in /home/vlad/PhpstormProjects/MyEduProject/SiteError.php on line 20
